chr,strand,ltr_up_start,ltr_up_end,ltr_down_start,ltr_down_end,int_start,int_end,ltr_5_start,ltr_5_end,ltr_3_start,ltr_3_end
chr3,-,128854523,128854998,128859679,128860156,128855048,128859679,128859679,128860156,128854523,128854998
chr6,-,109886704,109886752,109894249,109894640,109886752,109894249,109894249,109894640,109886704,109886752
chr7,-,64990323,64990915,64999343,64999936,64990915,64999343,64999343,64999936,64990323,64990915
chr7,-,138556757,138557278,138565604,138566149,138557289,138565603,138565604,138566149,138556757,138557278
chr11,+,29518505,29519128,29527353,29527987,29519151,29527353,29518505,29519128,29527353,29527987
chr14,-,70436463,70437051,70442888,70443477,70437051,70442888,70442888,70443477,70436463,70437051
chr19,-,23817564,23817793,23823964,23824289,23818067,23823963,23823964,23824289,23817564,23817793
chrY,+,3002436,3002992,3006011,3006431,3002992,3006011,3002436,3002992,3006011,3006431
chrY,+,22012694,22012819,22020965,22021525,22012820,22020965,22012694,22012819,22020965,22021525
chrY,-,22564864,22565424,22573570,22573695,22565424,22573569,22573570,22573695,22564864,22565424
chrY,+,23621986,23622111,23630257,23630818,23622112,23630257,23621986,23622111,23630257,23630818
chrY,-,26039259,26039820,26047966,26048091,26039820,26047965,26047966,26048091,26039259,26039820
